ticker,period,Ativo circulante,Ativo total,Passivo circulante,Passivo não circulante,Passivo total,Patrimônio líquido,EBIT,Lucro bruto,Lucro líquido,Receita líquida,Resultado financeiro,Resultado operacional
ABEV3,1T2014,"16,35 B","63,30 B","16,17 B","7,02 B","63,30 B","40,11 B","3,52 B","6,04 B","2,60 B","9,05 B","-368,82 M",--
ABEV3,1T2015,"19,24 B","75,10 B","21,77 B","7,22 B","75,10 B","46,11 B","4,40 B","7,15 B","2,96 B","10,77 B","-481,69 M",--
ABEV3,1T2016,"19,07 B","80,25 B","21,90 B","9,32 B","80,25 B","49,02 B","4,40 B","7,60 B","2,89 B","11,57 B","-1,17 B",--
ABEV3,1T2017,"21,30 B","80,73 B","23,90 B","8,15 B","80,73 B","48,68 B","3,50 B","6,72 B","2,29 B","11,24 B","-872,60 M",--
ABEV3,1T2018,"21,56 B","82,38 B","22,85 B","9,76 B","82,38 B","49,77 B","3,80 B","7,18 B","2,59 B","11,64 B","-599,22 M",--
ABEV3,1T2019,"26,19 B","96,91 B","23,25 B","13,16 B","96,91 B","60,49 B","4,05 B","7,53 B","2,75 B","12,64 B","-672,07 M",--
ABEV3,1T2020,"31,09 B","113,69 B","25,22 B","16,36 B","113,69 B","72,11 B","3,03 B","6,96 B","1,21 B","12,60 B","-1,54 B",--
ABEV3,1T2021,"37,06 B","133,42 B","31,88 B","17,91 B","133,42 B","83,63 B","3,98 B","8,69 B","2,73 B","16,64 B","-1,06 B",--
ABEV3,1T2022,"34,48 B","127,40 B","33,18 B","14,02 B","127,40 B","80,20 B","4,16 B","9,02 B","3,53 B","18,44 B","-596,71 M",--
ABEV3,1T2023,"35,38 B","135,47 B","35,63 B","13,40 B","135,47 B","86,44 B","4,88 B","10,40 B","3,82 B","20,53 B","-997,86 M",--
ABEV3,1T2024,"34,68 B","133,82 B","34,91 B","11,53 B","133,82 B","87,38 B","4,88 B","10,22 B","3,80 B","20,28 B","-405,94 M",--
ABEV3,1T2025,"43,55 B","147,30 B","39,34 B","12,48 B","147,30 B","95,48 B","5,71 B","11,55 B","3,80 B","22,50 B","-856,38 M",--
ABEV3,1T2026,"42,83 B","142,76 B","41,66 B","10,27 B","142,76 B","90,82 B","5,99 B","11,58 B","3,89 B","22,46 B","-1,06 B",--
ABEV3,2T2013,"12,06 B","58,74 B","10,06 B","9,12 B","58,74 B","39,56 B","2,70 B","4,90 B","1,91 B","7,57 B","-267,34 M",--
ABEV3,2T2014,"15,77 B","62,99 B","14,46 B","6,58 B","62,99 B","41,95 B","2,77 B","5,14 B","2,22 B","8,18 B","-298,00 M",--
ABEV3,2T2015,"18,36 B","74,44 B","20,73 B","7,78 B","74,44 B","45,93 B","3,12 B","6,14 B","2,59 B","9,91 B","-362,99 M",--
ABEV3,2T2016,"18,56 B","76,66 B","21,89 B","8,70 B","76,66 B","46,06 B","3,30 B","6,48 B","2,17 B","10,38 B","-899,88 M",--
ABEV3,2T2017,"23,04 B","84,12 B","26,02 B","8,38 B","84,12 B","49,73 B","3,04 B","6,22 B","2,12 B","10,27 B","-698,82 M",--
ABEV3,2T2018,"26,41 B","90,92 B","27,35 B","10,13 B","90,92 B","53,44 B","3,69 B","7,13 B","2,41 B","11,51 B","-1,10 B",--
ABEV3,2T2019,"27,36 B","98,74 B","22,64 B","13,17 B","98,74 B","62,93 B","3,55 B","7,18 B","2,62 B","12,15 B","-567,44 M",--
ABEV3,2T2020,"36,27 B","121,39 B","29,24 B","16,62 B","121,39 B","75,53 B","1,90 B","5,81 B","1,27 B","11,62 B","-793,74 M",--
ABEV3,2T2021,"32,71 B","124,44 B","28,79 B","15,55 B","124,44 B","80,10 B","3,89 B","7,75 B","2,93 B","15,71 B","-277,30 M",--
ABEV3,2T2022,"38,24 B","136,63 B","33,90 B","15,15 B","136,63 B","87,59 B","4,03 B","8,61 B","3,06 B","17,99 B","-495,46 M",--
ABEV3,2T2023,"34,32 B","133,29 B","34,12 B","12,81 B","133,29 B","86,37 B","3,45 B","9,26 B","2,60 B","18,90 B","-1,07 B",--
ABEV3,2T2024,"38,32 B","143,44 B","34,62 B","12,79 B","143,44 B","96,04 B","4,05 B","9,98 B","2,45 B","20,04 B","-616,22 M",--
ABEV3,2T2025,"40,79 B","142,16 B","36,87 B","12,07 B","142,16 B","93,21 B","4,39 B","10,04 B","2,79 B","20,09 B","-973,99 M",--
ABEV3,3T2013,"12,48 B","59,62 B","10,54 B","9,39 B","59,62 B","39,69 B","3,69 B","5,66 B","2,35 B","8,54 B","-497,39 M",--
ABEV3,3T2014,"15,45 B","65,13 B","14,59 B","6,91 B","65,13 B","43,62 B","3,49 B","5,67 B","2,89 B","8,62 B","-221,09 M",--
ABEV3,3T2015,"23,84 B","88,04 B","28,06 B","9,68 B","88,04 B","50,30 B","4,22 B","7,00 B","3,07 B","10,75 B","-316,64 M",--
ABEV3,3T2016,"19,99 B","79,11 B","21,88 B","8,07 B","79,11 B","49,16 B","3,13 B","6,27 B","3,18 B","10,48 B","-722,63 M",--
ABEV3,3T2017,"22,23 B","83,02 B","23,48 B","10,60 B","83,02 B","48,94 B","3,61 B","6,88 B","136,49 M","11,36 B","-674,93 M",--
ABEV3,3T2018,"26,20 B","95,69 B","25,56 B","10,11 B","95,69 B","60,02 B","3,40 B","6,70 B","2,89 B","11,06 B","-660,74 M",--
ABEV3,3T2019,"29,00 B","102,48 B","21,84 B","13,61 B","102,48 B","67,02 B","3,13 B","6,73 B","2,60 B","11,96 B","-305,80 M",--
ABEV3,3T2020,"39,10 B","127,06 B","30,28 B","17,21 B","127,06 B","79,57 B","3,58 B","8,18 B","2,36 B","15,60 B","-1,14 B",--
ABEV3,3T2021,"38,20 B","135,13 B","31,11 B","15,86 B","135,13 B","88,16 B","4,00 B","9,24 B","3,71 B","18,49 B","-876,24 M",--
ABEV3,3T2022,"41,56 B","142,06 B","34,98 B","15,53 B","142,06 B","91,55 B","4,05 B","9,94 B","3,22 B","20,59 B","-1,25 B",--
ABEV3,3T2023,"37,55 B","137,91 B","33,85 B","12,51 B","137,91 B","91,56 B","4,90 B","10,09 B","4,02 B","20,32 B","-837,90 M",--
ABEV3,3T2024,"42,67 B","147,29 B","35,67 B","12,73 B","147,29 B","98,88 B","5,35 B","11,12 B","3,57 B","22,10 B","-681,52 M",--
ABEV3,3T2025,"41,94 B","140,75 B","36,58 B","11,45 B","140,75 B","92,73 B","6,30 B","10,73 B","4,86 B","20,85 B","-1,09 B",--
ABEV3,4T2012,"16,31 B","61,83 B","15,53 B","9,04 B","61,83 B","37,27 B","4,95 B","7,05 B","3,73 B","10,13 B","-258,97 M",--
ABEV3,4T2013,"20,81 B","69,09 B","17,35 B","7,51 B","69,09 B","44,22 B","5,94 B","7,81 B","4,76 B","11,13 B","-558,89 M",--
ABEV3,4T2014,"20,73 B","72,14 B","21,82 B","6,67 B","72,14 B","43,64 B","6,06 B","8,42 B","4,66 B","12,23 B","-587,49 M",--
ABEV3,4T2015,"28,31 B","90,18 B","30,14 B","9,70 B","90,18 B","50,33 B","7,04 B","10,37 B","4,26 B","15,30 B","-1,11 B",--
ABEV3,4T2016,"23,89 B","83,84 B","28,77 B","8,42 B","83,84 B","46,65 B","6,27 B","8,57 B","4,83 B","13,18 B","-908,18 M",--
ABEV3,4T2017,"24,72 B","86,85 B","28,69 B","10,18 B","86,85 B","47,98 B","6,27 B","10,04 B","3,30 B","15,03 B","-1,25 B",--
ABEV3,4T2018,"25,33 B","95,71 B","25,21 B","13,05 B","95,71 B","57,45 B","6,26 B","9,97 B","3,46 B","16,02 B","-1,67 B",--
ABEV3,4T2019,"27,62 B","101,74 B","25,01 B","14,18 B","101,74 B","62,56 B","5,32 B","8,88 B","4,22 B","15,26 B","-1,56 B",--
ABEV3,4T2020,"35,34 B","125,20 B","33,48 B","16,57 B","125,20 B","75,15 B","7,42 B","10,36 B","6,89 B","18,56 B","1,04 B",--
ABEV3,4T2021,"38,63 B","138,60 B","38,87 B","15,72 B","138,60 B","84,02 B","5,09 B","11,51 B","3,75 B","22,01 B","-987,53 M",--
